question,answer,document
在行情揭示软件中，未匹配量在哪个位置显示？,未匹配量根据其是买方剩余量还是卖方剩余量揭示在“买数量二”或“卖数量二”位置。,Agujiaoyi_json
沪市在股票涨、跌停时，如何购买会是有效委托？,但是可选择最优五档即时成交剩余转限价申报，是有效委托，因为可以按本方最优报价转为限价申报。（同理，卖出跌停股票，在买方无申报价格时，只能选择最优五档即时成交剩余转限价申报）,Agujiaoyi_json
新股配号的位数是多少位？,配号数量默认为12位。1、深市新股的配号以0开头，配号位数默认是12位，中登公司发送券商的数据会把前面的0全部去掉，所以不同账户配号的位数有可能不一致；2、沪市配号是以1开头的，所以不会出现此情况，正常显示为12位数。,Aguxingu_json_csv
在T日申购网上/网下北交所新股，在哪天可以查询配售结果？,T日网上/网下申购北交所新股，T+3日可查询配售结果，可通过以下渠道查询：,beijiaosuo_json_csv
如何通过微证券平台签署风险揭示书？,5、微证券：交易—我的—业务办理—ST股票权限；,Agujiaoyi_json
宣传稿件的的签报流程，需要包括哪些信息？,发起稿件的签报流程，说明稿件希望推送的媒体范围，如三大证券报、深圳电视台、券商中国微信公众号等等，，总裁办、董办，及其他相关部门会签，必要时需分管副总裁会签；,xingzheng_json
首次开通注册制创业板权限的普通机构投资者需要同时满足哪些条件？,风险测评结果在C3平衡型及以上（C3平衡型、C4增长型及C5进取型需签署适配确认书，C2稳健型及以下不能开通）,chuangyeban_json_csv
多次申购北交所新股资金会冻结吗？,需区分情况：1、同一资金账户下申购北交所新股，首次有效申购将冻结资金，再次申购时系统将提示重复申购，不会再次冻结资金。2、不同资金账户（同一券商和不同券商的账户）申购北交所新股，系统将不提示重复申购，则每个账户进行申购时都将冻结相应资金，以首笔有效申购为准。其余重复申购的冻结资金将于申购日晚上清算后解冻。[注意]（1）请用同一个手机申购，如用多个手机登录同一个资金账户重复申购，资金会冻结，需晚上清算后返回。（2）通过交易软件申购北交所申购，若同一资金账户下有多个深A股东代码，申购北交所新股时优先权限最大的深A账户（如：开通一级权限的深A优先于开通了二级权限的深A）；若权限相同，则优先开通时间距离现在最近的深A账户。,beijiaosuo_json_csv
可以运用哪些例子理解比例配售？,举例：假设北交所新股中签率为10%：如果投资者A上午10点申购1800股，按比例获配180股，但80股为零股，所以先给投资者A100股，80股先放到一边。如果投资者B上午9点45分申购1600股，按比例获配160股，但60股为零股，所以先给投资者B100股，60股先放到一边。如果投资者C上午9点30分申购1600股，按比例获配160股，但60股为零股，所以先给投资者C100股，60股先放到一边。投资者A、B、C的所有零股汇总，80股+60股+60股=200股，按申购数量优先、数量相同的时间优先原则，依次给投资者A、投资者C各配售100股。,beijiaosuo_json_csv
通过微证券开通创业板权限时提示“是否符合券商开通条件”是什么意思？,我司会判断您账户是否存在身份证有效期过期、信息不规范等业务限制，如果没有存在业务限制，则符合券商线上开通条件，反之，不符合。相关截图请点击右侧“详情”查看。,chuangyeban_json_csv
如何通过电脑软件（新版）查询新股配号？,2)电脑软件（新版）：交易—普通交易—新股申购—我的申购/经典交易—股票—新股—新股配号查询；,Aguxingu_json_csv
港股通股票转入公司的时效是如何计算？,（2）时效：沪市：T日撤指定，T日（含）起可在我司重新指定，指定成功的下一交易日，即可在账户显示股份深市：T日办理转托管且T日开通深H股东代码卡，T+1日即可在账户显示；,ganggutong_json_csv
申购科创板新股需账户持有科创板股票吗？,不需要。仅需要您账户有科创板新股申购额度且开通科创板权限，不要求您账户必须有交易或持有科创板股票。,Aguxingu_json_csv
创业板市场与主板市场有什么区别？,在上市门槛、监管制度、信息披露、交易者条件、投资风险等方面和主板市场有较大区别。,chuangyeban_json_csv
网下发行面向的受众包括哪几类？,主要针对机构投资者和满足一定条件的个人投资者,Aguxingu_json_csv
如何通过智远一户通手机APP签署风险揭示书？,3、智远一户通手机APP：我的—业务办理—开通ST股票交易权限—开通上交所风险警示股票交易权限—去开通（该菜单仅支持个人客户签署）；,Agujiaoyi_json
如何判断新股？,1）上市首日新股：股票名称为N**(如华达)；2）电脑交易软件沪深个股界面中，股票名称后面带灰色字母N，即代表未开板的新股。,Aguxingu_json_csv
不同类型的档案归档时，处理方式是？,其中公司档案应按规定向公司档案室移交；部门档案由部门管理，并按要求向公司档案室报送档案信息；个人资料可作为参考资料留存。,xingzheng_json
如何查询历史新股申购记录？,2）查询历史新股申购记录：①手机软件：交易—我的申购—历史申购。②电脑软件（新版）：交易—普通交易—新股申购—我的申购—历史已完结申购，T日新股申购日，则T+3日起可查看T日申购新股的记录，未完结缴款的新股申购记录，可通过“当前未完结申购”菜单查询；③电脑软件（旧版）、电脑软件（新版）经典交易：股票—查询—历史委托查询；④微证券：交易—一键打新—申购记录。,Aguxingu_json_csv
预约打新的时间范围是？,申购日当天14:59之前都可以设置预约打新。,yuyuedaxin_json_csv
集合竞价期间，匹配量是指？,匹配量是指在虚拟开盘价格上形成的虚拟成交数量,Agujiaoyi_json
深市的退市整理板股票的简称是？,深市，证券简称为：“XX退”,Agujiaoyi_json
如何通过电脑软件（新版，V7.11及以上版本）经典交易查询询价结果？,2）电脑软件（新版，V7.11及以上版本）经典交易：交易—北交所—新股询价—询价结果查询；,beijiaosuo_json_csv
如何通过平板证券查询新股配号？,6)平板证券：交易—查询—配号查询；,Aguxingu_json_csv
对协会注册网下投资者的账户资产要求是？,最近一个月末沪深证券账户总资产1000万以上；,beijiaosuo_json_csv
创业板股票实施退市风险警示吗？,创业板股票对触及财务类、规范类、重大违法类指标的公司设置退市风险警示制度，对触及交易类指标的公司直接予以终止上市，不实施退市风险警示，也不再设置退市整理期。相关规则请点击右侧详情查看,chuangyeban_json_csv
上市公司出现哪些情形之一的，深交易所可以对其股票交易实施退市风险警示？,1）上市公司存在欺诈发行、重大信息披露违法或者其他严重损害证券市场秩序的重大违法行为，且严重影响上市地位，其股票应当被终止上市的情形；2）上市公司存在涉及国家安全、公共安全、生态安全、生产安全和公众健康安全等领域的违法行为，情节恶劣，严重损害国家利益、社会公共利益，或者严重影响上市地位，其股票应当被终止上市的情形。,chuangyeban_json_csv
设计文件确认后，是否需要办公室会签？,设计文件确认后，发起签报流程，办公室会签确认。,xingzheng_json
可以通过哪些渠道了解开通来源？,【来源】《深圳证券交易所创业板投资者适当性管理办法》,chuangyeban_json_csv
深市的新股配号以什么数字开头？,深市新股的配号以0开头,Aguxingu_json_csv
创业板交易旧规中，对股票涨跌幅有哪些限制要求？,1、首次公开发行上市的股票，上市首日不设价格涨跌幅限制，之后涨跌幅比例为10%；2、如果是风险警示股票，涨跌幅为5%；3、如果是退市整理股票，涨跌幅为10%。,chuangyeban_json_csv
什么是退市整理板（深、沪市）呢？,退市整理板（深、沪市）：被交易所做出终止上市决定但处于退市整理期尚未摘牌的股票，沪市，证券简称为“退市XX”；深市，证券简称为：“XX退”。,Agujiaoyi_json
普通账户权限开通结果查询如何通过哪些渠道查询？,（1）手机软件：我的—开通创业板；手机软件（V8.0前版本）：我的—我的业务办理—开通创业板；手机软件（v8.0及以上版本）：我的—全部业务—开通创业板；（2）电脑软件（新版）：我的—业务办理—开通创业板；（3）网上营业厅：业务办理首页—开通创业板。创业板权限开通页面，显示对应股东代码是否已开通创业板权限，包括新的注册制创业板权限是否已开通，如权限开通成功，界面显示“已开通”。（4）微证券：我的—业务办理—创业板权限，界面会显示创业板权限开通情况。,chuangyeban_json_csv
关闭新媒体公众号适用于哪种制度？,适用制度：《新媒体管理办法》,xingzheng_json
可以在哪个时间查询自己的询价是否入围？,①T日为申购日，您可在T-1日查看发行公告确认自己的询价是否入围；,beijiaosuo_json_csv
实施采购、办理招标等事宜的申请流程、步骤是？,流程、步骤：第一步：需求部门根据项目预算判断是否属于集中采购范围一、集中采购范围：（1）行政办公采购，单次采购金额3万元（或等值外币，下同）以上的；（2）广告宣传采购，单次采购金额5万元以上的；（3）培训采购，单次采购金额20万元以上的；（4）信息技术类采购，单次采购金额10万元以上的；（5）工程建设类采购，单项合同估算金额10万元以上的；（6）其他经营项目采购，单次采购金额10万元以上的；（7）集中采购目录范围内的。二、非集中采购范围：（1）工程建设类采购单项合同估算金额10万元以下的；（2）小额零星经营项目采购：1）行政办公采购，单次采购金额3万元以下的；2）广告宣传采购，单次采购金额5万元以下的；3）培训采购，单次采购金额20万元以下的；4）信息技术类采购，单次采购金额10万元以下的；5）其他经营项目采购，单次采购金额10万元以下的。（3）涉及国家安全、国家秘密、抢险救灾或利用扶贫资金实行以工代赈需使用农民工等情况采购的；（4）具备行业或资源垄断性质采购项目，以及紧急应诉、安全处置情况下发生的采购项目；（5）境外实施采购的；（6）因办理开工许可证而进入地方政府交易平台实施的，以及按代建项目有关协议要求进入其他交易平台的；（7）为获得业务机会而支付的第三方费用及通过业务互换方式确定的协议的支出；（8）依据中国证券业协会规定的涉及敏感信息的业务支出，单次采购金额20万元以上的项目待脱敏后，及时在集团采购平台备案；（9）救灾类应急采购项目，包括自然灾害以及影响业务连续性的紧急事件；（10）向扶贫对象（村委、个人等）实施的采购项目；（11）在集团批准的平台实施的，包括但不限于招商到家汇；（12）其他经集团批准的采购项目。第二步：区分集中采购与非集中采购不同办事流程一、属于集中采购范围：需求部门提交采购申请单，即在OA系统中发起“集中采购申请流程”，由办公室组织实施采购；二、属于非集中采购范围：由采购品归口部门确定的采购组织部门实施采购或由需求部门直接实施采购，其中属于非集中采购范围中的第（3）、（4）、（5）、（7）、（8）、（12）条的情形，需按要求履行审批后实施，其中单次采购金额20万元以上的（在集团批准的平台实施的除外），需求部门应在付款前及时完成采购报备。,xingzheng_json
新股网下申购时，需要开通对应权限吗？,不需要。满足A股新股网下申购条件后，操作网下申购无需开通对应板块（如科创板、创业板）权限。若需要买入对应股票，则需开通对应板块权限，卖出不受是否开通权限影响。,Aguxingu_json_csv
资产核算范围包括什么？,（1）现金：包含主辅资金账户的人民币、外币，不含在途资金（例如基金、理财赎回资金未到账部分）、当日转入资金；外币折算：我司依国家外汇管理局挂牌的汇率，采用每月月初的人民币汇率中间价折算为人民币计算。（2）市值：A股（不含新股中签缴款/配股缴款未上市部分）、B股、优先股、限售股、股转系统股票（新老三板都算）、债券（含逆回购资产、不含新债中签缴款/配债缴款未上市部分）、报价回购、资产支持证券、股票期权、港股通股票持仓市值、场内基金、场外基金理财（银行理财产品，不含在途基金、理财，即不含认申购基金、购买理财份额未到账的部分）、OTC产品、私募基金等；核算多个普通牛卡账户及开通权限的普通账户关联的信用账户净资产、股票期权等资产，其他券商资产不核算。当天新开的资金账户，那么资金账户新开户的第二天，资产才可合并计算。,chuangyeban_json_csv
开户时间不足20个交易日，可以进行新股申购吗？,"可以。证券账户开户未满20个交易日不影响A股新股市值计算，按20个交易日计算日均持有市值（沪深两市分开计算）的原则，满足申购条件就可以申购。例如：T-2日证券账户开户18个交易日，则持有的市值=∑18个交易日的清算后市值/20,且深市和沪市的市值分开计算，如计算得出的日均持有市值符合要求，则会计算对应市场的新股申购额度，满足新股申购条件，可以进行A股新股申购。",Aguxingu_json_csv
使用多个手机登录同一个账户重复申购，资金会冻结吗？,请用同一个手机申购，如用多个手机登录同一个资金账户重复申购，资金会冻结，需晚上清算后返回。,beijiaosuo_json_csv
退市整理股票的操作渠道包括哪几部分？,买入：已开通退市整理股票交易权限的客户，每次委托买入均需至开户营业部临柜填写《退市整理股票柜台委托单》提交委托申请。卖出：我司所有交易渠道。,Agujiaoyi_json
如果需要申购的新股发行为创业板新股需要开通哪些权限？,此外，如发行的是创业板新股还需有创业板权限才会推送，同理科创板。,Aguxingu_json_csv
创业板交易旧规中，单笔买卖最大申报数量是？,单笔买卖最大委托数量不能超100万股。,chuangyeban_json_csv
开设新媒体公众号的经办人/联系方式是？,经办人/联系方式：媒体管理岗黄小蕾0755-83081598,xingzheng_json
深股通投资者可以参与创业板股票盘后定价交易吗？,深股通投资者可以参与创业板股票盘后定价交易，但相关规定暂不实施，具体实施时间请关注深交所公告。[备注]相关公告关于发布《深圳证券交易所创业板交易特别规定》的通知http://www.szse.cn/lawrules/rule/allrules/bussiness/t20200612_578381.html,chuangyeban_json_csv
如何初步判断档案的产生频率及移交日期？,根据本单位各业务线的具体情况，初步判断档案的产生频率，从而估算出移交时间，确保档案收集的及时性。,xingzheng_json
深交所，单一账号的新股申购额度存在显示问题时，交易所会如何处理？,1）单一账号：只要客户过去20日满足新股申购市值要求，则T-2日日终无论账户有无深市A股股票，交易所都会向券商发送T日市值并向客户揭示新股申购额度。,Aguxingu_json_csv
非新闻类OA首页滚动，需要提交哪些材料进行申请？,非新闻类宣传页面链接：banner图片（尺寸：518×157）、被链接的页面地址（必须是网址、不能是图片）,xingzheng_json
如何通过电脑软件操作新股中签缴费？,2）电脑软件（新版）：交易—普通交易—新股申购—中签缴款—锁定中签资金。,Aguxingu_json_csv
开通创业板权限是否要收费？,不需要。开通创业板交易权限不需要收费。,chuangyeban_json_csv
2018年8月20日前，沪市的连续竞价时间是？,2018年8月20日前：连续竞价时间为：9:30至11:30、13:00至15：00。,Agujiaoyi_json
创业板交易新规中，单笔买卖限价申报的最大数量是？,（1）限价申报：单笔买卖申报最大数量不得超过30万股；,chuangyeban_json_csv
总部及全资子公司员工借阅档案发起流程的审批环节是？,审批环节如下：填写申请单→部门负责人审核→档案查询（此环节，档案管理员会根据《档案利用分级分类审批权限表》判断后续是否需提交档案归属部门负责人审批、是否需档案形成单位会签、是否需档案借阅单位分管领导审批）→借出档案（如申请人借出档案原件）→归还档案,xingzheng_json
未开通创业板权限可以卖出解禁后的原始股吗？,可以。账户中持有的创业板原始股解禁后，没有开通创业板权限可直接卖出相应股份。,chuangyeban_json_csv
交易经验是以什么为单位计算的？,交易经验按自然日计算。,chuangyeban_json_csv
普通账户怎么查询当天新股申购记录？,普通账户查询当天A股新股申购记录有以下方式：1、手机软件：交易—新股申购—我的申购；2、电脑软件（新版）：交易—普通交易—新股申购—我的申购—当前未完结申购（T日新股申购日，T+2日晚上清算前均可查看T日的申购记录）；3、电脑软件（旧版）、电脑软件（新版）经典交易：股票—新股—新股申购查询。4、微证券：交易—一键打新—申购记录。[备注]当天操作新股申购是否有效，请晚上清算后查询资金流水，如有新股配号入账则申购有效。,Aguxingu_json_csv
港股通股票是否可以转托管到其他券商的港股账户呢？,不可以。账户持有的港股通股票，只能转托管到境内其他券商的A股账户，无法转托管到其他券商的港股账户。,ganggutong_json_csv
普通账户如何通过网页版交易快速通道操作进行创业板交易？,3、网页版交易快速通道：交易—普通交易—买入/卖出；,chuangyeban_json_csv
创业板股票新股上市5个交易日之后的有效竞价范围是多少？,创业板新股上市5个交易日后，创业板（核准制+注册制）股票有涨跌幅限制，有效竞价范围如下：1、开盘集合竞价、收盘集合竞价阶段：需在价格涨跌幅范围内；2、连续竞价阶段：限价委托（价格笼子）（1）买入申报价格≤买入基准价*102%；（2）卖出申报价格≥卖出基准价格*98%。,chuangyeban_json_csv
深市的收盘集合竞价阶段，有效竞价范围是？,最近成交价的上下10%,Agujiaoyi_json
创业板交易就归总，复牌时，需要进行哪些操作？,复牌时，对已接受的申报进行复牌集合竞价。,chuangyeban_json_csv
集合竞价时，成交价的确定原则是？,2、集合竞价时，成交价的确定原则为：（1）可实现最大成交量；（2）高于该价格的买入申报与低于该价格的卖出申报全部成交；（3）与该价格相同的买方或卖方至少有一方全部成交,Agujiaoyi_json
什么是直接发行定价？,新股网上定价发行价格固定，采用证券交易所先进的交易系统来发行股票的发行方式，即主承销商利用交易系统，按已确定的发行价格向投资者发售股票，投资者按照发行价格申购。,beijiaosuo_json_csv
机构投资者需要携带什么资料用于取消港股通权限？,需要机构代理人带有效开户证件在交易日9:00-17:00到就近营业部现场办理，,ganggutong_json_csv
怎么查询北交所新股网下询价的结果？,T日提交询价，T+2日可通过以下渠道查询询价结果：1、手机软件（V8.10及以上版本）：交易—北交所交易—新股询价—询价结果；2、电脑软件（新版，V7.11及以上版本）经典交易：交易—北交所—新股询价—询价结果查询；3、北交所：北交所披露的《发行公告》中会披露每位网下投资者的报价情况、有效报价配售对象名单以及确定原则等。相关截图请点击右侧“详情”查看。,beijiaosuo_json_csv
同一天中签多只新股，缴款的优先顺序是？,2）同一天中签多只新股，按新股中签缴款金额从小到大的顺序进行缴款，中签缴款金额一致时，按申购代码从大到小的顺序缴款，不区分市场；,Aguxingu_json_csv
出现哪些情形会被实施退市风险警示？,4、触及财务类、规范类、重大违法类强制退市情形的实施退市风险警示（“*ST”字样）。,chuangyeban_json_csv
信用账户开通创业板权限如何通过营业部现场开通？,（1）个人投资者：普通账户已开通创业板权限，可到就近营业部临柜开通信用账户创业板权限。开通方式如下：账户本人在交易日9:00-17:00带有效二代身份证（港澳台客户需携带的是开户时证件）到就近营业部开通交易权限，请您提前与就近营业部联系。（2）机构投资者：需普通账户已开通创业板权限，方可至营业部临柜开通信用账户创业板权限。开通方式如下：机构代理人在交易日9:00-17:00带齐有效开户证件到就近营业部开通，所需资料请提前咨询营业部。,chuangyeban_json_csv
什么是询价发行？,通过向询价对象询价来确定发行价格的，投资者需按照发行价格申购。,beijiaosuo_json_csv
注册制创业板上市条件是什么？,注册制创业板上市条件，请点击右侧“详情”查看。,chuangyeban_json_csv
申报党委会、总裁办公室会等公司决策类会议适用于什么制度？,适用制度：《关于规范党委会、总裁办公会议题报送的通知》,xingzheng_json
沪市的交易时间是？,沪市：开盘集合竞价时间为每个交易日的9:15至9:25，连续竞价时间为：9:30至11:30、13:00至14:57；收盘集合竞价时间为14:57至15:00。,Agujiaoyi_json
怎么修改普通账户中签通知的手机号码？,修改普通账户中签通知手机号码有以下路径：1、手机软件（V8.0前版本）：我的—身份信息更新—手机号码；手机软件（V8.0及以上版本）：我的—全部业务—身份信息更新—手机号码；2、电脑软件（新版）&nbsp;：我的—业务办理—身份信息更新—手机号码，或者交易—普通交易—新股申购—今日申购—中签提醒手机号码—修改；3、官网网上营业厅：业务办理—身份信息更新—手机号码。[备注]&nbsp;上述路径为客户登记在我司手机号码。,Aguxingu_json_csv
普通账户权限开通结果查询如何通过微证券查询？,（4）微证券：我的—业务办理—创业板权限，界面会显示创业板权限开通情况。,chuangyeban_json_csv
如何通过电脑软件（新版）经典交易查询港股通权限开通情况？,电脑软件（新版）经典交易：股票—港股通—港股通业务开通；,ganggutong_json_csv
深交所开盘集合竞价的非交易时间是哪个时间段？,09：25--09：30（非交易时间）,Agujiaoyi_json
上市公司出现哪些情形之一的，可主动申请终止其股票上市交易？,（1）上市公司股东大会决议主动撤回其股票在本所上市交易，并决定不再在证券交易所交易；（2）上市公司股东大会决议主动撤回其股票在本所上市交易，并转而申请在其他交易场所交易或转让；（3）上市公司股东大会决议解散；（4）上市公司因新设合并或者吸收合并，不再具有独立主体资格并被注销；（5）上市公司以终止公司股票上市为目的，向公司所有股东发出回购全部股份或者部分股份的要约，导致公司股本总额、股权分布等发生变化不再具备上市条件；（6）上市公司股东以终止公司股票上市为目的，向公司所有其他股东发出收购全部股份或者部分股份的要约，导致公司股本总额、股权分布等发生变化不再具备上市条件；（7）上市公司股东以外的其他收购人以终止公司股票上市为目的，向公司所有股东发出收购全部股份或者部分股份的要约，导致公司股本总额、股权分布等发生变化不再具备上市条件；（8）中国证监会或本所认可的其他主动终止上市情形。,chuangyeban_json_csv
网下申购北交所新股是否要收费？,不需要。,beijiaosuo_json_csv
新股上市首日，在沪市的开盘竞价阶段，有效竞价范围是？,有效申报价格不得高于发行价格的120%且不得低于发行价格的80%；集合竞价阶段未产生开盘价的，以当日第一笔成交价格作为开盘价。,Agujiaoyi_json
新股中签的资金扣取顺序是？,中签当天16：00资金的扣取顺序：优先新股中签缴款，再定期定投缴款，最后进行天添利申购；,Aguxingu_json_csv
在哪个时间段可以进行询价？,询价日8:45-15:00可通过以下渠道操作：,beijiaosuo_json_csv
新股的申购代码与股票代码是同一个吗？,不一定。新股（A股）的申购代码与股票代码是否一致需要区分市场：深市：申购代码与股票代码相同；沪市：申购代码与股票代码不同；股票代码以6开头，申购代码以7开头，具体请查看公司公告。,Aguxingu_json_csv
如何通过微证券申购新股？,5)微证券：交易—一键打新—打新日历（打新日历暂时无法查看科创板新股，可通过一键打新—科创板查看当天发行的科创板新股）；,Aguxingu_json_csv
新股申购规则对同一投资者的判断标准是什么？,A股新股申购确认多个证券账户为同一投资者持有的原则为证券账户注册资料中的“账户持有人名称”、“有效身份证明文件号码”均相同。,Aguxingu_json_csv
网下申购新股缴款成功后，股份上市怎么操作？,您在操作网下申购A股新股时需填写托管席位号和股东代码，缴款成功后得到的股份将托管至您填写的账户中。等新股上市后，您可以通过证券账户进行交易。,Aguxingu_json_csv
创业板股票的委托数量是多少？,创业板（核准制+注册制）股票委托数量要求如下：1、买入委托数量单笔下单委托买入的申报数量为100股（1手）的整数倍。2、卖出委托数量（1）若单只持仓股数量是100股或其整数倍，也应100股或其整数倍卖出，不能拆分；（2）若单只股票数量有零股（不足100股的部分为零股）：1）账户只有零股部分：需一次性卖出，不可拆分卖出；2）账户有100股整数倍及零股部分：可将100股整数倍部分先卖出，或将零股部分与100股整数倍部分一并卖出，不能先卖出零股部分，也不能将零股部分再拆分卖出。3、单笔买卖申报最大数量（1）限价申报：单笔买卖申报最大数量不得超过30万股；（2）市价申报：单笔买卖申报最大数量不得超过15万股；（3）盘后定价申报：单笔买卖申报最大数量不得超过100万股。,chuangyeban_json_csv
预约打新失败后，可以自行委托申购吗？,能。若因为发行信息临时变动（如发行价或申购日变更）等原因导致预约打新申购失败，您可以自行通过手机软件或其他渠道申购。,yuyuedaxin_json_csv
信用账户可以申购北交所新股吗？,不可以。满足北交所新股申购条件，仅可通过普通账户申购北交所新股（包括网上或网下申购）。,beijiaosuo_json_csv
预约打新的条件是什么？,需账户的风险承受能力为C3平衡型及以上（C2稳健型及以下无法操作预约打新）。另外，科创板/创业板新股预约打新需先开通科创板/创业板权限才可预约。[备注]预约打新当天账户无新股申购额度也可预约，实际申购日当天账户满足新股申购条件系统会自动按照之前设定的申购时段等信息为您提交申购。,yuyuedaxin_json_csv
创业板股票什么情况下会对其实行重大违法强制退市风险警示？,创业板上市公司出现下列情形之一的，深交易所可以对其股票交易实施退市风险警示：1、上市公司存在欺诈发行、重大信息披露违法或者其他严重损害证券市场秩序的重大违法行为，且严重影响上市地位，其股票应当被终止上市的情形；2、上市公司存在涉及国家安全、公共安全、生态安全、生产安全和公众健康安全等领域的违法行为，情节恶劣，严重损害国家利益、社会公共利益，或者严重影响上市地位，其股票应当被终止上市的情形。,chuangyeban_json_csv
在公司企业号发布内容应符合公司的哪项制度？,适用制度：《新媒体管理办法》,xingzheng_json
涨跌幅价格计算单位以什么为小数点？,备注：计算结果按照四舍五入原则取至价格最小变动单位。,Agujiaoyi_json
北交所新股网上、网下的总资产显示如何了解？,北交所新股网上或网下新股申购不会导致总资产减少。T日交易时间申购，T日账户将按照申购数量冻结可用资金，不影响总资产。T日晚上清算后，根据有效申购数量，显示北交所新股持仓及市值，总资产也不受影响。T+2日晚上清算后，系统按照获配股份数量返回多缴资金，资金返回后可用可取，持仓以实际获配的数量显示，总资产也不变。,beijiaosuo_json_csv
普通账户可以取消创业板权限吗？,可以。账户本人在交易日9:00-15:00带有效二代身份证（港澳台客户需携带的是开户时证件）到就近营业部办理，请您提前与就近营业部联系。机构户所需资料请提前咨询营业部。,chuangyeban_json_csv
尚未盈利的创业板股票/存托凭证的特别标识为？,1、尚未盈利的创业板股票/存托凭证的特别标识为“U”；发行人首次实现盈利的，该特别标识取消。,chuangyeban_json_csv
网上申购与网下申购的区别？,网上申购是通过交易所网上交易系统(券商交易软件)进行的公开申购。任何有新股申购额度的个人或机构都可以参与此申购。网下申购的要求会高于网上申购，满足条件机构和个人投资者才可参与网下申购，普通投资者（包括个人和机构）只能参与网上申购。网上申购与网下申购的时间为同一天。,Aguxingu_json_csv
每位投资者的询价价格要求有哪些？,每个投资者仅能使用一个证券账户对同一只股票询价一次，且每次仅能填写一个价格，如对同一只股票使用多个证券账户申报，或使用同一个证券账户申报多次的（最多2次重报机会，即申报3个不同的价格），且报价均为有效报价，则以最后一笔有效申报为准。最高价格与最低价格的差额不得超过最低价格的20%，不符合规定的，则按照价格优先原则保留有效价格，其他价格对应的报价无效。,beijiaosuo_json_csv
给公司官方微信公众号、官方微博投稿相关事宜的经办人/联系方式是？,经办人/联系方式：媒体管理岗：官微/黄小蕾/0755-83081598、微博/陈硕/0755-83081612,xingzheng_json
怎么开通沪股通、深股通权限？,开通沪股通、深股通等业务请您可以咨询港股服务热线4008888199，或者拨打我司客服热线95565—按9号键“人工服务”—8号键“招商香港”。,ganggutong_json_csv
网下询价的询价时间是？,T日新股申购日，T-3日通过我司系统完成询价，询价时间为询价日8:45-15:00（中午休市时段可正常委托）。,beijiaosuo_json_csv
申请开展广告投放等对外传播事宜的经办人/联系方式是？,经办人/联系方式：品牌管理岗刘知敬0755-83081054,xingzheng_json
新股申购的条件有哪些？,申购新股（A股）需要您对应账户在新股发行日当天，有对应市场的新股申购额度才可申购（沪、深分开显示）。其中，申购注册制创业板新股，需账户已开通注册制创业板交易权限；申购科创板新股，需账户已开通科创板权限。,Aguxingu_json_csv
开盘价是指？,开盘价：证券的开盘价为当日该证券的第一笔成交价。,Agujiaoyi_json
北交所新股网下申购的条件是什么？,参与北交所新股网下询价且提供了有效报价的网下投资者必须参与网下申购（无持仓市值要求）。,beijiaosuo_json_csv
网下申购新股是？,满足网下申购条件，可申请参与首次公开发行股票的网下发行业务，投资者通过网下发行电子平台查询确认配售对象有效报价入围数量、录入申购单后，查询配售结果，确认网下获配股份数量及应缴款情况，足额划付认购资金。资金不足的情况下，视为放弃申购权利。,Aguxingu_json_csv
信用账户创业板权限开通的开通结果查询可以通过哪些渠道了解？,您可通过以下方式查询，系统会显示创业板权限开通情况：（1）手机软件：我的—开通创业板/交易—信用—账户管理—创业板开通；（2）电脑软件（新版）：我的—业务办理—创业板权限开通，或者我的—业务办理—融资融券—业务权限—创业板权限开通。,chuangyeban_json_csv
申报党委会、总裁办公室会等公司决策类会议的流程、步骤是什么？,流程、步骤：确认好议题是否涉及多部门，若是，需先协调统一意见；拟定议题报送的文件，并按时报送；等待议题确定和会议通知；现场汇报,xingzheng_json
网上申购需要满足哪些条件？,账户已开通新三板交易权限（即一、二类权限）/北交所交易权限（无持仓市值要求）。,beijiaosuo_json_csv
T日有多只股票发行，同一投资者参与每支新股的额度通过什么进行确认？,T日有多只新股发行，同一投资者参与每只新股网上申购的额度均按T-2日（含）前20交易日日均市值确定。证券账户开户时间不足20个交易日的，按20个交易日计算日均持有市值。,Aguxingu_json_csv
当未公布新股中签结果时，如何从我司委托管（转出）或撤指定沪市新股？,沪市：T日申购，在未公布中签结果前无法办理撤指定以及注销相应证券账户。,Aguxingu_json_csv
如何通过电脑软件（旧版）查询新股是否中签？,4）电脑软件（旧版）：股票—新股—新股中签查询/股票—查询—历史成交；,Aguxingu_json_csv
采用直接定价方式需要注意什么？,采用直接定价方式的，发行人与主承销商应当结合发行人所属行业、市场情况、同行业公司估值水平等因素审慎确定发行价格，并在招股文件和发行公告中披露。,beijiaosuo_json_csv
深交所网下发行电子平台用户手册-投资者版的pdf链接是？,深交所网下发行电子平台用户手册-投资者版,Aguxingu_json_csv
客户进行新股/新债申购后，委托是否成功以什么为准？,B、客户进行新股/新债申购后，委托是否成功以最终交易所及中登确认结果为准。,Aguxingu_json_csv
在其他券商已申请网下申购新股的CA证书，是否需要在我司重新申请？,在一个券商申请新股CA证书后，无需再通过其他券商再次申请，可在我司直接使用。,Aguxingu_json_csv
